sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,crosssell_skus,upsell_skus,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,configurable_variations,configurable_variation_labels,associated_skus
A001F412-4,,Default,virtual,"WOMENS,Tops - Long Sleeve",base,"Laceup Sleeve Top Black - XL","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",0.26,1,"Taxable Goods","Not Visible Individually",44.99,,,,laceup-sleeve-top-black-xl,"Laceup Sleeve Top Black","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.,Gothic,,,","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,18/03/2009,"21-11-17 17:51:22",,,"Block after Info Column",,,,,,,,,,,,,"sku=A001F412-4,size=XL,color=Black,design=ARACNAFARIA,material=Cotton,us_inventory=0,int_inventory=10",10,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,
A001F412-5,,Default,virtual,"WOMENS,Tops - Long Sleeve",base,"Laceup Sleeve Top Black - L","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",0.26,1,"Taxable Goods","Not Visible Individually",44.99,,,,laceup-sleeve-top-black-l,"Laceup Sleeve Top Black","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.,Gothic,,,","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,18/03/2009,"21-11-17 17:51:22",,,"Block after Info Column",,,,,,,,,,,,,"sku=A001F412-5,size=L,color=Black,design=ARACNAFARIA,material=Cotton,us_inventory=0,int_inventory=0",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,
A001F412-6,,Default,virtual,"WOMENS,Tops - Long Sleeve",base,"Laceup Sleeve Top Black - M","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",0.26,1,"Taxable Goods","Not Visible Individually",44.99,,,,laceup-sleeve-top-black-m,"Laceup Sleeve Top Black","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.,Gothic,,,","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,18/03/2009,"21-11-17 17:51:22",,,"Block after Info Column",,,,,,,,,,,,,"sku=A001F412-6,size=M,color=Black,design=ARACNAFARIA,material=Cotton,us_inventory=0,int_inventory=0",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,
A001F412-7,,Default,virtual,"WOMENS,Tops - Long Sleeve",base,"Laceup Sleeve Top Black - S","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",0.26,1,"Taxable Goods","Not Visible Individually",44.99,,,,laceup-sleeve-top-black-s,"Laceup Sleeve Top Black","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.,Gothic,,,","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,http://images.spiraldirect.com/1/1395571983_39.jpg,,18/03/2009,"21-11-17 17:51:22",,,"Block after Info Column",,,,,,,,,,,,,"sku=A001F412-7,size=S,color=Black,design=ARACNAFARIA,material=Cotton,us_inventory=0,int_inventory=0",0,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,,,
Laceup-Sleeve-Top-Black-ARACNAFARIA,,Default,configurable,"WOMENS,Tops - Long Sleeve",base,"Laceup Sleeve Top Black","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.",,1,"Taxable Goods","Catalog, Search",,,,,laceup-sleeve-top-black-s,"Laceup Sleeve Top Black","LS Laceup Sleeve Blk is made of Top Quality 100% Cotton, Interlock using skin friendly, Azo-free, Reactive dyes.,Gothic,,,","This spider fairy stands in her Gothic window, guarding her domain. Designed by Anne Stokes.",,,,,,,,,,,,,"Block after Info Column",,,,,,,,,,,,,,,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,,"sku=A001F412-4,size=XL,color=Black,design=ARACNAFARIA,material=Cotton|sku=A001F412-5,size=L,color=Black,design=ARACNAFARIA,material=Cotton|sku=A001F412-6,size=M,color=Black,design=ARACNAFARIA,material=Cotton|sku=A001F412-7,size=S,color=Black,design=ARACNAFARIA,material=Cotton",,
